id,placename,municipality,province,population
271209,Ntshutshwini,Mnquma,Eastern Cape,278
271210,Msele,Mnquma,Eastern Cape,149
271211,eMbovu,Mnquma,Eastern Cape,229
271212,eNtshingeni,Mnquma,Eastern Cape,193
271213,Mabala,Mnquma,Eastern Cape,611
271214,Ngqaqini,Mnquma,Eastern Cape,430
271215,Mngxokweni,Mnquma,Eastern Cape,156
271216,Nkanga,Mnquma,Eastern Cape,421
271217,Manyontolweni,Mnquma,Eastern Cape,162
271218,Nkonkwane,Mnquma,Eastern Cape,189
271219,High Hill,Mnquma,Eastern Cape,333
271220,Rhoxeni,Mnquma,Eastern Cape,379
271221,Lower Ndakana,Mnquma,Eastern Cape,331
271222,Ekupumleni,Mnquma,Eastern Cape,25
271223,Mkhonkotho,Mnquma,Eastern Cape,372
271224,Zagwityi,Mnquma,Eastern Cape,858
271225,Ngxalathi,Mnquma,Eastern Cape,877
271226,KwaKhwatsha,Mnquma,Eastern Cape,249
271227,Nodumaphi,Mnquma,Eastern Cape,104
271228,eNtombo,Mnquma,Eastern Cape,489
271229,Bhongolwethu,Mnquma,Eastern Cape,374
271230,Mayekiso Farm,Mnquma,Eastern Cape,217
271231,Mlonyeni,Mnquma,Eastern Cape,277
271232,Qikileka,Mnquma,Eastern Cape,89
271233,Lutsholo,Mnquma,Eastern Cape,147
271234,Komkhulu G,Mnquma,Eastern Cape,568
271235,Ngqokweni,Mnquma,Eastern Cape,292
271236,KuHolela,Mnquma,Eastern Cape,441
271237,KwaGaba,Mnquma,Eastern Cape,309
271238,Maqele,Mnquma,Eastern Cape,525
271239,Cilo,Mnquma,Eastern Cape,356
271240,KwaLubobo,Mnquma,Eastern Cape,236
271241,Khwetsha,Mnquma,Eastern Cape,278
271242,Qumbulwana,Mnquma,Eastern Cape,595
271243,ePhika,Mnquma,Eastern Cape,239
271244,Bomvana,Mnquma,Eastern Cape,233
271245,Mangobomvu B,Mnquma,Eastern Cape,480
271246,Ntilini A,Mnquma,Eastern Cape,341
271247,eNqileni,Mnquma,Eastern Cape,744
271248,Zitulele,Mnquma,Eastern Cape,624
271249,Nyokana,Mnquma,Eastern Cape,5
271250,Nyidlana,Mnquma,Eastern Cape,244
271251,Tyhila,Mnquma,Eastern Cape,844
271252,Mpukane Mission,Mnquma,Eastern Cape,490
271253,eNdenya,Mnquma,Eastern Cape,308
271254,Mdeni,Mnquma,Eastern Cape,406
271255,Qengqweni,Mnquma,Eastern Cape,164
271256,Bhuru,Mnquma,Eastern Cape,63
271257,Mgobhozweni,Mnquma,Eastern Cape,586
271258,uMzantsi A,Mnquma,Eastern Cape,257
271259,KwaNofodosi,Mnquma,Eastern Cape,253
271260,Dwarheni,Mnquma,Eastern Cape,448
271261,Masisini,Mnquma,Eastern Cape,897
271262,Jojweni F,Mnquma,Eastern Cape,632
271263,Teko-Kona,Mnquma,Eastern Cape,1033
271264,Bhishibha,Mnquma,Eastern Cape,194
271265,Khayalethemba,Mnquma,Eastern Cape,797
271266,Jekete,Mnquma,Eastern Cape,405
271267,Mmango,Mnquma,Eastern Cape,194
271268,Bongoza,Mnquma,Eastern Cape,432
271269,Majamaneni,Mnquma,Eastern Cape,160
271270,uMzantsi C,Mnquma,Eastern Cape,265
271271,Mangweni A,Mnquma,Eastern Cape,549
271272,Toboshane,Mnquma,Eastern Cape,554
271273,Mzinjana,Mnquma,Eastern Cape,417
271274,eMagotsini,Mnquma,Eastern Cape,360
271275,eNkanini,Mnquma,Eastern Cape,529
271276,Ndabakazi Station,Mnquma,Eastern Cape,344
271277,New Rest,Mnquma,Eastern Cape,311
271278,eLengeni,Mnquma,Eastern Cape,469
271279,Sigingqini B,Mnquma,Eastern Cape,816
271280,iDyaba,Mnquma,Eastern Cape,475
271281,Tholeni,Mnquma,Eastern Cape,696
271282,Mzazi,Mnquma,Eastern Cape,1375
271283,Ntshatshongo,Mnquma,Eastern Cape,748
271284,eNgqaqeni,Mnquma,Eastern Cape,190
271285,Mente,Mnquma,Eastern Cape,463
271286,Kutanyanga,Mnquma,Eastern Cape,199
271287,KwaMagodla,Mnquma,Eastern Cape,354
271288,Vumenjani,Mnquma,Eastern Cape,184
271289,Bethal,Mnquma,Eastern Cape,301
271290,Dyam-Dyam,Mnquma,Eastern Cape,292
271291,Qolweni A,Mnquma,Eastern Cape,223
271292,Mhlahlane,Mnquma,Eastern Cape,192
271293,KwaBongoza,Mnquma,Eastern Cape,470
271294,Upper Gcilishana,Mnquma,Eastern Cape,100
271295,eMarhedwaneni,Mnquma,Eastern Cape,410
271296,Dyushu,Mnquma,Eastern Cape,450
271297,Sivangxa,Mnquma,Eastern Cape,299
271298,Nyili,Mnquma,Eastern Cape,240
271299,KwaMlisa,Mnquma,Eastern Cape,116
271300,Msintsana,Mnquma,Eastern Cape,798
271301,Mbendeni,Mnquma,Eastern Cape,448
271302,eMambendeni,Mnquma,Eastern Cape,425
271303,Jojweni A,Mnquma,Eastern Cape,657
271304,Ndabakazi,Mnquma,Eastern Cape,495
271305,eNgxewane,Mnquma,Eastern Cape,190
271306,Teko-Fihla,Mnquma,Eastern Cape,992
271307,Tshoveni,Mnquma,Eastern Cape,414
271308,Cingweni,Mnquma,Eastern Cape,608
271309,KwaNumanto,Mnquma,Eastern Cape,346
271310,Aboboti,Mnquma,Eastern Cape,120
271311,eSixhotyeni,Mnquma,Eastern Cape,403
271312,eNtsukazi,Mnquma,Eastern Cape,348
271313,eRhala,Mnquma,Eastern Cape,409
271314,Jojweni B,Mnquma,Eastern Cape,320
271315,Rwantsana B,Mnquma,Eastern Cape,325
271316,Nqagqini,Mnquma,Eastern Cape,287
271317,Maxhegwana,Mnquma,Eastern Cape,256
271318,Ngunduza,Mnquma,Eastern Cape,243
271319,Mamfenesi,Mnquma,Eastern Cape,129
271320,Sidubela,Mnquma,Eastern Cape,310
271321,Xamane,Mnquma,Eastern Cape,184
271322,Kulomiza,Mnquma,Eastern Cape,97
271323,KuLotshazi,Mnquma,Eastern Cape,151
271324,Qombe,Mnquma,Eastern Cape,175
271325,Ceru,Mnquma,Eastern Cape,648
271326,Dakeni,Mnquma,Eastern Cape,231
271327,Gxara,Mnquma,Eastern Cape,204
271328,Zwelitsha,Mnquma,Eastern Cape,227
271329,KwaJuliwe,Mnquma,Eastern Cape,253
271330,eVotini,Mnquma,Eastern Cape,148
271331,Teko-Springs,Mnquma,Eastern Cape,929
271332,KwaZizane,Mnquma,Eastern Cape,661
271333,Ntsonyane,Mnquma,Eastern Cape,262
271334,Skovane,Mnquma,Eastern Cape,254
271335,Qeqe,Mnquma,Eastern Cape,372
271336,KwaKhumalo,Mnquma,Eastern Cape,321
271337,eGrakhulu,Mnquma,Eastern Cape,225
271338,eMtonjeni,Mnquma,Eastern Cape,307
271339,Mfeku,Mnquma,Eastern Cape,547
271340,eMahlathini,Mnquma,Eastern Cape,163
271341,Njakazi,Mnquma,Eastern Cape,348
271342,KwaNontshinga B,Mnquma,Eastern Cape,342
271343,Centuli,Mnquma,Eastern Cape,356
271344,iNkonkwane,Mnquma,Eastern Cape,364
271345,KwaNdotshanga,Mnquma,Eastern Cape,215
271346,Ngobozini,Mnquma,Eastern Cape,880
271347,KwaMzintsilana,Mnquma,Eastern Cape,214
271348,eSigingqini B,Mnquma,Eastern Cape,526
271349,Ncedani,Mnquma,Eastern Cape,129
271350,KwaMagogo,Mnquma,Eastern Cape,233
271351,Mkhwaneni,Mnquma,Eastern Cape,218
271352,KwaRarase,Mnquma,Eastern Cape,158
271353,Rarayo,Mnquma,Eastern Cape,185
271354,eNgcingcinikhwe,Mnquma,Eastern Cape,203
271355,Komkhulu A,Mnquma,Eastern Cape,354
271356,eNkelekethe,Mnquma,Eastern Cape,281
271357,Gatyana,Mnquma,Eastern Cape,154
271358,Mangweni B,Mnquma,Eastern Cape,211
271359,Komkhulu E,Mnquma,Eastern Cape,235
271360,Mtonjeni,Mnquma,Eastern Cape,475
271361,Qoboqobo,Mnquma,Eastern Cape,260
271362,Myoyo,Mnquma,Eastern Cape,689
271363,Mrhawuzeli,Mnquma,Eastern Cape,584
271364,Mtshayelweni,Mnquma,Eastern Cape,275
271365,eLalini C,Mnquma,Eastern Cape,227
271366,KwaNgako,Mnquma,Eastern Cape,96
271367,Bawa,Mnquma,Eastern Cape,345
271368,Bhokhwe,Mnquma,Eastern Cape,706
271369,KuNqambeli,Mnquma,Eastern Cape,326
271370,Langeni,Mnquma,Eastern Cape,235
271371,Mandluntsha,Mnquma,Eastern Cape,157
271372,eNkcalwini,Mnquma,Eastern Cape,260
271373,Nyityaba,Mnquma,Eastern Cape,457
271374,KwaFestile,Mnquma,Eastern Cape,329
271375,Kabakasi,Mnquma,Eastern Cape,1009
271376,Tafalofefe,Mnquma,Eastern Cape,1368
271377,Ntilini B,Mnquma,Eastern Cape,265
271378,Mbuwana,Mnquma,Eastern Cape,387
271379,Qolweni B,Mnquma,Eastern Cape,343
271380,Bakaneni,Mnquma,Eastern Cape,406
271381,Marhotshozweni,Mnquma,Eastern Cape,121
271382,Mathole B,Mnquma,Eastern Cape,177
271383,Mndundu,Mnquma,Eastern Cape,276
271384,Jojweni D,Mnquma,Eastern Cape,519
271385,eMzitheni,Mnquma,Eastern Cape,700
271386,KwaZangwa,Mnquma,Eastern Cape,185
271387,KwaRadebe,Mnquma,Eastern Cape,126
271388,Sawutana,Mnquma,Eastern Cape,138
271389,KwaMvemve,Mnquma,Eastern Cape,206
271390,Nkondwane,Mnquma,Eastern Cape,284
271391,eNcalukeni,Mnquma,Eastern Cape,276
271392,Mgwebi,Mnquma,Eastern Cape,220
271393,Toleni,Mnquma,Eastern Cape,61
271394,Zangwa,Mnquma,Eastern Cape,146
271395,KwaNjokwana,Mnquma,Eastern Cape,64
271396,Ngqanda,Mnquma,Eastern Cape,485
271397,Kobonqaba B,Mnquma,Eastern Cape,219
271398,Mkonjane,Mnquma,Eastern Cape,187
271399,Ngqutu A,Mnquma,Eastern Cape,201
271400,KwaDayi,Mnquma,Eastern Cape,452
271401,Thuthurha,Mnquma,Eastern Cape,77
271402,Kudubevu,Mnquma,Eastern Cape,527
271403,KuDunjana,Mnquma,Eastern Cape,183
271404,Ejojweni,Mnquma,Eastern Cape,645
271405,Zikhovana,Mnquma,Eastern Cape,75
271406,eMangqangqa,Mnquma,Eastern Cape,167
271407,KwaMantetyana,Mnquma,Eastern Cape,270
271408,Seku,Mnquma,Eastern Cape,312
271409,eMatipheni,Mnquma,Eastern Cape,198
271410,Gobe,Mnquma,Eastern Cape,338
271411,Diphini,Mnquma,Eastern Cape,191
271412,KwaZingxala,Mnquma,Eastern Cape,1492
271413,Mnyama,Mnquma,Eastern Cape,329
271414,Njingini,Mnquma,Eastern Cape,1153
271415,Singeni,Mnquma,Eastern Cape,205
271416,KwaNobuswana,Mnquma,Eastern Cape,1189
271417,KwaKabakazi,Mnquma,Eastern Cape,632
271418,Gqunge A,Mnquma,Eastern Cape,1924
271419,Mofu,Mnquma,Eastern Cape,156
271420,Thubeni,Mnquma,Eastern Cape,919
271421,Gcina,Mnquma,Eastern Cape,919
271422,Mazeppa Bay,Mnquma,Eastern Cape,111
271423,KwaVika,Mnquma,Eastern Cape,140
271424,KwaXhobane,Mnquma,Eastern Cape,338
271425,eMmangweni B,Mnquma,Eastern Cape,331
271426,eMmangweni A,Mnquma,Eastern Cape,175
271427,Ngqutu B,Mnquma,Eastern Cape,182
271428,eTyiweni B,Mnquma,Eastern Cape,83
271429,Zingqandana,Mnquma,Eastern Cape,333
271430,Mzantsi B,Mnquma,Eastern Cape,132
271431,KwaPhalo,Mnquma,Eastern Cape,48
271432,Godidi,Mnquma,Eastern Cape,801
271433,Sintsana,Mnquma,Eastern Cape,486
271434,Zibunu,Mnquma,Eastern Cape,109
271435,Poshi,Mnquma,Eastern Cape,149
271436,Ntlini,Mnquma,Eastern Cape,278
271437,eBhityolo,Mnquma,Eastern Cape,133
271438,eTyiweni A,Mnquma,Eastern Cape,63
271439,Gwelane,Mnquma,Eastern Cape,327
271440,Lusizi,Mnquma,Eastern Cape,821
271441,Komkhulu F,Mnquma,Eastern Cape,429
271442,Lalo,Mnquma,Eastern Cape,252
271443,KwaFihlani,Mnquma,Eastern Cape,853
271444,Mthwaku A,Mnquma,Eastern Cape,315
271445,Nxaxho,Mnquma,Eastern Cape,658
271446,Drayini,Mnquma,Eastern Cape,280
271447,KwaGaqa,Mnquma,Eastern Cape,523
271448,Ngqusi,Mnquma,Eastern Cape,635
271449,Luqolweni,Mnquma,Eastern Cape,482
271450,Ngqolongwane,Mnquma,Eastern Cape,451
271451,Samini,Mnquma,Eastern Cape,106
271452,Qina,Mnquma,Eastern Cape,281
271453,Lokishi,Mnquma,Eastern Cape,135
271454,Besmani,Mnquma,Eastern Cape,202
271455,Manzana,Mnquma,Eastern Cape,445
271456,Diko,Mnquma,Eastern Cape,444
271457,Sigangala,Mnquma,Eastern Cape,693
271458,Mnyameni,Mnquma,Eastern Cape,615
271459,Samka,Mnquma,Eastern Cape,262
271460,Khobodi,Mnquma,Eastern Cape,221
271461,Mafusini,Mnquma,Eastern Cape,245
271462,Maqwathini,Mnquma,Eastern Cape,585
271463,KwaMkhulu,Mnquma,Eastern Cape,281
271464,eMahlubini A,Mnquma,Eastern Cape,423
271465,Mthongwana,Mnquma,Eastern Cape,437
271466,Thembani,Mnquma,Eastern Cape,321
271467,Dyosini,Mnquma,Eastern Cape,551
271468,Chibini,Mnquma,Eastern Cape,442
271469,KwaMaciba,Mnquma,Eastern Cape,594
271470,Upper Macibe,Mnquma,Eastern Cape,715
271471,Mmangonkone,Mnquma,Eastern Cape,172
271472,Zondani,Mnquma,Eastern Cape,83
271473,Springs,Mnquma,Eastern Cape,132
271474,Zinyoka,Mnquma,Eastern Cape,45
271475,Bharhumani,Mnquma,Eastern Cape,60
271476,Eagle,Mnquma,Eastern Cape,58
271477,Dlephu,Mnquma,Eastern Cape,118
271478,Columba Mission,Mnquma,Eastern Cape,123
271479,Pumlani,Mnquma,Eastern Cape,33
271480,eZisoyini,Mnquma,Eastern Cape,181
271481,Xaxasimba,Mnquma,Eastern Cape,206
271482,eNgwane,Mnquma,Eastern Cape,403
271483,KwaZithombe,Mnquma,Eastern Cape,110
271484,Nkente,Mnquma,Eastern Cape,375
271485,KwaThala,Mnquma,Eastern Cape,206
271486,Gotyibeni,Mnquma,Eastern Cape,572
271487,Mgobhozi,Mnquma,Eastern Cape,406
271488,Kentani,Mnquma,Eastern Cape,1456
271489,KwaKantolo,Mnquma,Eastern Cape,922
271490,Mpentse,Mnquma,Eastern Cape,451
271491,Qokolweni A,Mnquma,Eastern Cape,1035
271492,Machelesini,Mnquma,Eastern Cape,159
271493,Rwantsane,Mnquma,Eastern Cape,112
271494,KwaDlephu,Mnquma,Eastern Cape,141
271495,Phantsikwentaba,Mnquma,Eastern Cape,1
271496,eDrayini A,Mnquma,Eastern Cape,189
271497,eMagiqweni,Mnquma,Eastern Cape,681
271498,eZingxondoreni,Mnquma,Eastern Cape,143
271499,Klanisi,Mnquma,Eastern Cape,152
271500,Nduveni,Mnquma,Eastern Cape,266
271501,KwaMdange,Mnquma,Eastern Cape,478
271502,Seyisi,Mnquma,Eastern Cape,332
271503,Nqileni,Mnquma,Eastern Cape,251
271504,KwaSeyisi,Mnquma,Eastern Cape,316
271505,KwaTsotsi,Mnquma,Eastern Cape,626
271506,Amambalu,Mnquma,Eastern Cape,571
271507,Mbongendlu,Mnquma,Eastern Cape,236
271508,Diya,Mnquma,Eastern Cape,248
271509,KwaSonkana,Mnquma,Eastern Cape,365
271510,Nciba,Mnquma,Eastern Cape,155
271511,Great Kei Bridge,Mnquma,Eastern Cape,85
271512,Myeki,Mnquma,Eastern Cape,39
271513,Mkwezweni,Mnquma,Eastern Cape,142
271514,Gaqa,Mnquma,Eastern Cape,173
271515,Masele,Mnquma,Eastern Cape,616
271516,Bumbane,Mnquma,Eastern Cape,373
271517,Ncatha,Mnquma,Eastern Cape,431
271518,Gqola,Mnquma,Eastern Cape,313
271519,KwaCengani,Mnquma,Eastern Cape,53
271520,Wili,Mnquma,Eastern Cape,326
271521,Takazi B,Mnquma,Eastern Cape,696
271522,Ncerana B,Mnquma,Eastern Cape,549
271523,Ngcingane,Mnquma,Eastern Cape,118
271524,Nyutura,Mnquma,Eastern Cape,205
271525,Qayiso,Mnquma,Eastern Cape,466
271526,Mdange A,Mnquma,Eastern Cape,47
271527,Golisile,Mnquma,Eastern Cape,147
271528,Qombolo,Mnquma,Eastern Cape,292
271529,Dyasini,Mnquma,Eastern Cape,288
271530,Nombanjana,Mnquma,Eastern Cape,955
271531,eSigingqini,Mnquma,Eastern Cape,178
271532,Ngede,Mnquma,Eastern Cape,625
271533,KwaThinga,Mnquma,Eastern Cape,203
271534,Takazi A,Mnquma,Eastern Cape,251
271535,Mtwaku,Mnquma,Eastern Cape,95
271536,Mthwaku B,Mnquma,Eastern Cape,496
271537,Nyumaga,Mnquma,Eastern Cape,390
271538,KwaGeza,Mnquma,Eastern Cape,92
271539,Mngqalasini,Mnquma,Eastern Cape,176
271540,KwaVuso,Mnquma,Eastern Cape,289
271541,Komkhulu,Mnquma,Eastern Cape,675
271542,Zimbaba,Mnquma,Eastern Cape,546
271543,KwaMaxhama,Mnquma,Eastern Cape,805
271544,KwaMjo,Mnquma,Eastern Cape,678
271545,Bhonyothi,Mnquma,Eastern Cape,491
271546,Nxaxo Mouth,Mnquma,Eastern Cape,47
271547,Msikaba,Mnquma,Eastern Cape,243
271548,Ngcizele,Mnquma,Eastern Cape,1088
271549,Tafeni,Mnquma,Eastern Cape,248
271550,KwaSezela,Mnquma,Eastern Cape,288
271551,Nibe,Mnquma,Eastern Cape,424
271552,KwaNontshinga A,Mnquma,Eastern Cape,828
271553,Kobonqaba A,Mnquma,Eastern Cape,0
271554,Chwebeni,Mnquma,Eastern Cape,549
271555,Nantsana,Mnquma,Eastern Cape,189
271556,Coastal holiday homes,Mnquma,Eastern Cape,1
271557,Mceshe,Mnquma,Eastern Cape,171
271558,Nkonki,Mnquma,Eastern Cape,176
271559,Ngotsini,Mnquma,Eastern Cape,226
271560,Kwane,Mnquma,Eastern Cape,176
271561,Qolora Mouth,Mnquma,Eastern Cape,137
271562,KwaMazinyo,Mnquma,Eastern Cape,79
271563,KwaVuka,Mnquma,Eastern Cape,138
272001,Komga,Great Kei,Eastern Cape,8090
272002,Great Kei NU,Great Kei,Eastern Cape,6468
272003,Cwili,Great Kei,Eastern Cape,1745
272004,Kei Mouth,Great Kei,Eastern Cape,291
272005,Manqukela,Great Kei,Eastern Cape,185
272006,Chicargo,Great Kei,Eastern Cape,208
272007,Lusasa,Great Kei,Eastern Cape,228
272008,Mzwini,Great Kei,Eastern Cape,264
272009,Soto,Great Kei,Eastern Cape,2410
272010,KwaDubulekwele,Great Kei,Eastern Cape,411
272011,Ziphunzana,Great Kei,Eastern Cape,738
272012,KwaMahomba,Great Kei,Eastern Cape,703
272013,Mandela,Great Kei,Eastern Cape,563
272014,Morgan's Bay,Great Kei,Eastern Cape,321
272015,Mgcogo,Great Kei,Eastern Cape,651
272016,Ncalukeni,Great Kei,Eastern Cape,1128
272017,Nyara,Great Kei,Eastern Cape,289
272018,Kwenxura,Great Kei,Eastern Cape,181
272019,Diphini,Great Kei,Eastern Cape,607
272020,Gubeni KwaSilatsha,Great Kei,Eastern Cape,801
272021,Ngxingxolo,Great Kei,Eastern Cape,775
272022,KwaSithungu,Great Kei,Eastern Cape,226
272023,Haga-Haga,Great Kei,Eastern Cape,134
272024,KwaBola,Great Kei,Eastern Cape,237
272025,Gwaba,Great Kei,Eastern Cape,1997
272026,Tainton,Great Kei,Eastern Cape,677
272027,Qolweni,Great Kei,Eastern Cape,954
272028,Mandela Park,Great Kei,Eastern Cape,671
272029,Luphindweni,Great Kei,Eastern Cape,518
272030,Chakatha,Great Kei,Eastern Cape,315
272031,KwaJongilanga,Great Kei,Eastern Cape,241
272032,Kwelera,Great Kei,Eastern Cape,630
272033,KwaNokhala,Great Kei,Eastern Cape,553
272034,Cintsa East,Great Kei,Eastern Cape,1740
272035,KwaThuba,Great Kei,Eastern Cape,2278
272036,Cintsa West,Great Kei,Eastern Cape,63
272037,Queensberry Bay,Great Kei,Eastern Cape,423
272038,Glengariff,Great Kei,Eastern Cape,119
272039,Arena,Great Kei,Eastern Cape,63
272040,Yellowsands,Great Kei,Eastern Cape,93
273001,Ngqolosa,Amahlathi,Eastern Cape,263
273002,Upper Ngqolosa,Amahlathi,Eastern Cape,182
273003,Amahlathi NU,Amahlathi,Eastern Cape,7692
273003,Amahlathi NU North,Amahlathi,Eastern Cape,2692
273004,eJojweni A,Amahlathi,Eastern Cape,156
273005,KwaJimi,Amahlathi,Eastern Cape,311
273006,Cengu,Amahlathi,Eastern Cape,610
273007,KwaNcekemfu,Amahlathi,Eastern Cape,377
273008,Xolobe,Amahlathi,Eastern Cape,860
273009,Ndzisaneni,Amahlathi,Eastern Cape,188
273010,Mdzisane,Amahlathi,Eastern Cape,307
273011,Komkhulu,Amahlathi,Eastern Cape,301
273012,Mdeni,Amahlathi,Eastern Cape,546
273013,eJojweni B,Amahlathi,Eastern Cape,404
273014,Mdukukeni,Amahlathi,Eastern Cape,379
273015,KwaXelihagu,Amahlathi,Eastern Cape,215
273016,Dwaleni,Amahlathi,Eastern Cape,32
273017,Jeke,Amahlathi,Eastern Cape,109
273018,KwaBengu,Amahlathi,Eastern Cape,313
273019,Ndhyibidyidi,Amahlathi,Eastern Cape,21
273020,KwaLantolo,Amahlathi,Eastern Cape,170
273021,Kensington,Amahlathi,Eastern Cape,577
273022,eLalini,Amahlathi,Eastern Cape,295
273023,Mbongiseni,Amahlathi,Eastern Cape,229
273024,Kuze,Amahlathi,Eastern Cape,73
273025,KwaNdenxa,Amahlathi,Eastern Cape,180
273026,Matolweni,Amahlathi,Eastern Cape,241
273027,Mcewula,Amahlathi,Eastern Cape,162
273028,Fubu,Amahlathi,Eastern Cape,109
273029,Nyingwashe,Amahlathi,Eastern Cape,370
273030,Luxomo,Amahlathi,Eastern Cape,251
273031,Dratini,Amahlathi,Eastern Cape,124
273032,Tsomo,Amahlathi,Eastern Cape,189
273033,KwaMadolo,Amahlathi,Eastern Cape,245
273034,Caba,Amahlathi,Eastern Cape,198
273035,Bhabha,Amahlathi,Eastern Cape,275
273036,Ematanjeni,Amahlathi,Eastern Cape,214
273037,Goshen,Amahlathi,Eastern Cape,411
273038,Nkqayi,Amahlathi,Eastern Cape,264
273039,Qwiliqwili,Amahlathi,Eastern Cape,86
273040,eThwishini,Amahlathi,Eastern Cape,68
273041,Empindweni,Amahlathi,Eastern Cape,240
273042,Katikati,Amahlathi,Eastern Cape,2888
273043,Daliwe,Amahlathi,Eastern Cape,2201
273044,Carthcart,Amahlathi,Eastern Cape,2310
273045,Stutterheim,Amahlathi,Eastern Cape,24673
273046,Ngabangu,Amahlathi,Eastern Cape,2359
273047,Hlontsheni,Amahlathi,Eastern Cape,173
273048,Lalini,Amahlathi,Eastern Cape,245
273049,Lubomvini,Amahlathi,Eastern Cape,252
273050,KwaBomvana,Amahlathi,Eastern Cape,253
273051,Ndungameni,Amahlathi,Eastern Cape,902
273052,Ngqanda,Amahlathi,Eastern Cape,620
273053,Rawini,Amahlathi,Eastern Cape,354
273054,Heckel,Amahlathi,Eastern Cape,609
273055,Wartburg,Amahlathi,Eastern Cape,699
273056,Mgwali,Amahlathi,Eastern Cape,3429
273057,Cata,Amahlathi,Eastern Cape,892
273058,Skafu,Amahlathi,Eastern Cape,400
273059,Mqukqanwe,Amahlathi,Eastern Cape,232
273060,Ngobozana,Amahlathi,Eastern Cape,532
273061,Dontsa,Amahlathi,Eastern Cape,434
273062,Upper Mnyameni,Amahlathi,Eastern Cape,893
273063,Ndlovini,Amahlathi,Eastern Cape,599
273064,Ngqolongqolo,Amahlathi,Eastern Cape,302
273065,Keiskammahoek,Amahlathi,Eastern Cape,4429
273066,Mthwaku,Amahlathi,Eastern Cape,560
273067,Lower Mnyameni,Amahlathi,Eastern Cape,715
273068,Upper Gxulu,Amahlathi,Eastern Cape,810
273069,Gasela,Amahlathi,Eastern Cape,275
273070,Nonkululeko,Amahlathi,Eastern Cape,1056
273071,Ngxalawe,Amahlathi,Eastern Cape,808
273072,Amazibula,Amahlathi,Eastern Cape,1123
273073,Stanhope,Amahlathi,Eastern Cape,620
273074,Zwelitsha,Amahlathi,Eastern Cape,1581
273075,Amabele,Amahlathi,Eastern Cape,326
273076,Zingcuka,Amahlathi,Eastern Cape,1012
273077,Lower Gxulu,Amahlathi,Eastern Cape,1400
273078,Bomapass,Amahlathi,Eastern Cape,1185
273079,Masincedane,Amahlathi,Eastern Cape,278
273080,Tshoxa,Amahlathi,Eastern Cape,1807
273081,Gwiligwili,Amahlathi,Eastern Cape,1686
273082,Ngqudela,Amahlathi,Eastern Cape,320
273083,Embandezweleni,Amahlathi,Eastern Cape,165
273084,Bongweni,Amahlathi,Eastern Cape,598
273085,Ereyini,Amahlathi,Eastern Cape,438
273086,Kei Road,Amahlathi,Eastern Cape,1179
273087,Emthonjini,Amahlathi,Eastern Cape,161
273088,Dongoba,Amahlathi,Eastern Cape,1018
273089,Sobotini,Amahlathi,Eastern Cape,430
273090,Border Post,Amahlathi,Eastern Cape,3052
273091,Frankfort,Amahlathi,Eastern Cape,2043
273092,KwaGubevu,Amahlathi,Eastern Cape,1304
273093,Bhavameni,Amahlathi,Eastern Cape,473
273094,Lower Ngqumeya,Amahlathi,Eastern Cape,229
273095,Eqolweni,Amahlathi,Eastern Cape,1028
273096,Trust,Amahlathi,Eastern Cape,161
273097,eMagqobhokeni,Amahlathi,Eastern Cape,261
273098,Ematoleni,Amahlathi,Eastern Cape,415
273099,Emangcumeni,Amahlathi,Eastern Cape,306
273100,KwaTwenty,Amahlathi,Eastern Cape,61
273101,New Rest,Amahlathi,Eastern Cape,197
273102,Quza,Amahlathi,Eastern Cape,167
273103,KwaMxhalanga,Amahlathi,Eastern Cape,1330
273104,Tyelimdaka,Amahlathi,Eastern Cape,127
273105,Magqobhokeni,Amahlathi,Eastern Cape,531
273106,Nompumelelo,Amahlathi,Eastern Cape,555
273107,Kathcart Hemish Kamega,Amahlathi,Eastern Cape,151
273108,Sandla,Amahlathi,Eastern Cape,143
273109,Lenye,Amahlathi,Eastern Cape,542
273110,Hokwana,Amahlathi,Eastern Cape,360
273111,KwaMangati,Amahlathi,Eastern Cape,1260
273112,Ethembeni,Amahlathi,Eastern Cape,5530
273113,KwaNoxolo,Amahlathi,Eastern Cape,458
273114,Zanyokwe,Amahlathi,Eastern Cape,608
273115,Burnshill,Amahlathi,Eastern Cape,693
273116,Emangweni,Amahlathi,Eastern Cape,218
273117,Fort Cox,Amahlathi,Eastern Cape,43
273118,Cwaru,Amahlathi,Eastern Cape,271
273119,Silositsha,Amahlathi,Eastern Cape,119
273120,Esinyanduleni,Amahlathi,Eastern Cape,98
273121,Lower eNgqeqe,Amahlathi,Eastern Cape,408
273122,Cwengcwe,Amahlathi,Eastern Cape,117
273123,Eluphendweni,Amahlathi,Eastern Cape,846
273124,eRhamnyiba,Amahlathi,Eastern Cape,1294
273125,Quzini,Amahlathi,Eastern Cape,6179
273126,Rabe,Amahlathi,Eastern Cape,979
273127,Ngcamngeni,Amahlathi,Eastern Cape,1104
273128,Madubela,Amahlathi,Eastern Cape,608
273129,Debe Nek,Amahlathi,Eastern Cape,42
274001,Ngqwele,Ngqushwa,Eastern Cape,615
274002,Ngqushwa NU,Ngqushwa,Eastern Cape,900
274003,Bhele,Ngqushwa,Eastern Cape,699
274004,Dubu,Ngqushwa,Eastern Cape,751
274005,KwaMasele,Ngqushwa,Eastern Cape,1052
